Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,Release Year,Release Month,Release Quarter,Power Density (W/mm2),Type_encoded,Vendor_ATI,Vendor_Intel,Vendor_NVIDIA,Vendor_Other,Foundry_Intel,Foundry_Other,Foundry_TSMC,Foundry_UMC,Foundry_Unknown
2018-05-31,14.0,72.0,126.0,1400.0,3400.0,,,,2018.0,5.0,2.0,0.5714285714285714,0,False,True,False,False,True,False,False,False,False
2000-06-05,180.0,40.0,120.0,37.0,700.0,,,,2000.0,6.0,2.0,0.3333333333333333,0,False,False,False,False,False,False,False,False,True
2004-04-27,130.0,32.0,144.0,69.0,1600.0,,,,2004.0,4.0,2.0,0.2222222222222222,0,False,False,False,False,False,False,False,False,True
2018-04-19,12.0,105.0,192.0,4800.0,3700.0,,,,2018.0,4.0,2.0,0.546875,0,False,False,False,False,False,False,False,False,False
2018-02-21,14.0,45.0,210.0,4950.0,3350.0,,,,2018.0,2.0,1.0,0.21428571428571427,0,False,False,False,False,False,False,False,False,False
2010-05-11,45.0,45.0,169.0,300.0,2500.0,,,,2010.0,5.0,2.0,0.26627218934911245,0,False,False,False,False,False,False,False,False,True
2011-05-22,32.0,95.0,216.0,1160.0,2900.0,,,,2011.0,5.0,2.0,0.4398148148148148,0,False,True,False,False,True,False,False,False,False
2012-10-23,32.0,125.0,315.0,1200.0,3500.0,,,,2012.0,10.0,4.0,0.3968253968253968,0,False,False,False,False,False,False,False,False,True
2020-04-30,14.0,125.0,,,3800.0,,,,2020.0,4.0,2.0,,0,False,True,False,False,True,False,False,False,False
2012-11-05,32.0,140.0,315.0,2400.0,2800.0,,,,2012.0,11.0,4.0,0.4444444444444444,0,False,False,False,False,False,False,False,False,True
2005-09-26,90.0,95.0,,233.0,2200.0,,,,2005.0,9.0,3.0,,0,False,False,False,False,False,False,False,False,True
2012-07-01,32.0,17.0,131.0,504.0,1400.0,,,,2012.0,7.0,3.0,0.1297709923664122,0,False,True,False,False,True,False,False,False,False
2010-12-07,45.0,125.0,346.0,904.0,3300.0,,,,2010.0,12.0,4.0,0.36127167630057805,0,False,False,False,False,False,False,False,False,True
2015-03-01,14.0,28.0,,,2500.0,,,,2015.0,3.0,1.0,,0,False,True,False,False,True,False,False,False,False
2013-09-01,22.0,54.0,177.0,1400.0,3400.0,,,,2013.0,9.0,3.0,0.3050847457627119,0,False,True,False,False,True,False,False,False,False
2013-07-24,32.0,130.0,435.0,2270.0,3000.0,,,,2013.0,7.0,3.0,0.2988505747126437,0,False,True,False,False,True,False,False,False,False
2012-10-19,22.0,35.0,160.0,1480.0,2200.0,,,,2012.0,10.0,4.0,0.21875,0,False,True,False,False,True,False,False,False,False
2018-09-01,14.0,35.0,,,2300.0,,,,2018.0,9.0,3.0,,0,False,True,False,False,True,False,False,False,False
2005-08-02,90.0,67.0,,106.0,1800.0,,,,2005.0,8.0,3.0,,0,False,False,False,False,False,False,False,False,True
2015-03-01,14.0,15.0,,,2200.0,,,,2015.0,3.0,1.0,,0,False,True,False,False,True,False,False,False,False
2001-01-01,90.0,84.0,109.0,125.0,2933.0,,,,2001.0,1.0,1.0,0.7706422018348624,0,False,True,False,False,True,False,False,False,False
2004-05-18,130.0,82.0,193.0,106.0,1600.0,,,,2004.0,5.0,2.0,0.42487046632124353,0,False,False,False,False,False,False,False,False,True
2017-01-03,14.0,65.0,,,3500.0,,,,2017.0,1.0,1.0,,0,False,True,False,False,True,False,False,False,False
2005-10-10,90.0,135.0,213.0,200.0,2800.0,,,,2005.0,10.0,4.0,0.6338028169014085,0,False,True,False,False,True,False,False,False,False
2009-05-10,45.0,65.0,82.0,228.0,3067.0,,,,2009.0,5.0,2.0,0.7926829268292683,0,False,True,False,False,True,False,False,False,False
